companyId,companyName,provider,identifier,occurrences,alreadyInManifest,existingProvider,existingId,sampleUrl
jobgether,Jobgether,LEVER,jobgether,1,YES,LEVER,jobgether,https://jobs.lever.co/jobgether/fb316d0b-49af-46a3-b13c-ec3c525cbaf6/apply?source=LinkedIn
joko,Joko,ASHBY,joko,1,YES,ASHBY,joko,https://jobs.ashbyhq.com/joko/2f122a74-c0a5-4836-b851-d296f20626cc?src=LinkedIn
kogan-com,Kogan.com,LEVER,kogan,2,YES,LEVER,kogan,https://jobs.lever.co/kogan/1f24962f-a75a-4a19-9146-d1664933b983/apply?lever-source=LinkedIn
kpmg-new-zealand,KPMG New Zealand,LEVER,kpmgnz,1,YES,LEVER,kpmgnz,https://jobs.lever.co/kpmgnz/50ff7aa6-c4a3-43b5-87ea-a14ac2b33d95?source=LinkedIn
kraken,Kraken,LEVER,kraken123,2,YES,LEVER,kraken123,https://jobs.lever.co/kraken123/941b5dfb-b927-48c6-9560-0b88c6aa387f/apply?lever-source=LinkedIn
leonardo-ai,Leonardo.Ai,ASHBY,leonardo.ai,1,YES,ASHBY,leonardo.ai,https://jobs.ashbyhq.com/leonardo.ai/dfcd514f-85c5-402e-9c06-a9e903fbd302/application?utm_source=vNEkJaDy8w
lightspeed-commerce,Lightspeed Commerce,GREENHOUSE,lightspeedhq,1,YES,GREENHOUSE,lightspeedhq,https://job-boards.greenhouse.io/lightspeedhq/jobs/7566067?gh_src=ra52sj1
lyrebird-health,Lyrebird Health,LEVER,lyrebirdhealth,1,YES,LEVER,lyrebirdhealth,https://jobs.lever.co/lyrebirdhealth/9f2530e1-1f58-44e3-88fd-f168b31f7889/apply?lever-source=LinkedIn
magic-eden,Magic Eden,ASHBY,magiceden,2,YES,ASHBY,magiceden,https://jobs.ashbyhq.com/magiceden/a4b40c16-0f31-4bb2-b5d3-cb89290cb405?src=LinkedIn
maincode,Maincode,ASHBY,maincode,1,YES,ASHBY,maincode,https://jobs.ashbyhq.com/maincode/94baa206-3a18-4386-95de-d99fd9b1e196?utm_source=LinkedInPaid
megaport,Megaport,LEVER,megaport,1,YES,LEVER,megaport,https://jobs.lever.co/megaport/07265220-946c-4309-ba51-c5d86129a9ae
mistral-ai,Mistral AI,LEVER,mistral,1,YES,LEVER,mistral,https://jobs.lever.co/mistral/d60f6c60-ad5e-4753-af8a-56365b7db8b8/apply?lever-source=LinkedIn
mongodb,MongoDB,GREENHOUSE,mongodb,1,YES,GREENHOUSE,mongodb,http://boards.greenhouse.io/mongodb/jobs/7381061?gh_src=ircv7l
myob,MYOB,LEVER,myob-2,2,YES,LEVER,myob-2,https://jobs.lever.co/myob-2/a8618801-d330-427a-8885-c6610030b584/apply?lever-source=LinkedIn
n8n,n8n,ASHBY,n8n,1,YES,ASHBY,n8n,https://jobs.ashbyhq.com/n8n/a8aea5b5-bde5-491e-adc0-affde5b3af3d/application?utm_source=kvb7ldmbNl
neon-one,Neon One,ASHBY,HighlightTA,2,YES,ASHBY,HighlightTA,https://jobs.ashbyhq.com/HighlightTA/d42e57fb-b706-4d2d-aff2-83e0f8a1d62c?utm_source=Linkedin
nivoda,Nivoda,ASHBY,Nivoda,1,YES,ASHBY,Nivoda,https://jobs.ashbyhq.com/Nivoda/8f3f52f6-f695-4821-adf1-035583e5be8d/application?utm_source=2o8vyr4aeq
notion,Notion,ASHBY,notion,2,YES,ASHBY,notion,https://jobs.ashbyhq.com/notion/07217e93-e172-4778-972b-765a5c996fac?source=LinkedIn
objective-corporation,Objective Corporation,LEVER,objective,1,YES,LEVER,objective,https://jobs.lever.co/objective/f6eece8e-c72b-464c-8c0b-a28ebccc7f08/apply?source=LinkedIn
oif-ventures,OIF Ventures,ASHBY,oif-ventures,1,YES,ASHBY,oif-ventures,https://jobs.ashbyhq.com/oif-ventures/feb23aa3-025c-4369-a1a7-bfc5e7b428db/application?utm_source=01vLBbzb3X
okendo,Okendo,LEVER,okendo,1,YES,LEVER,okendo,https://jobs.lever.co/okendo/beecb172-4ec1-4930-ac24-40d05c9bd17e/apply?lever-source=LinkedIn
palo-it,PALO IT,GREENHOUSE,paloit,1,YES,GREENHOUSE,paloit,https://job-boards.greenhouse.io/paloit/jobs/7410270?gh_src=CT9hmF
partly,Partly,ASHBY,partly.com,1,YES,ASHBY,partly,https://jobs.ashbyhq.com/partly.com/66ca5626-6d2b-459e-9f45-89423f3eaf2e?src=Linkedin
perk,TravelPerk,ASHBY,Perk,1,YES,ASHBY,Perk,https://jobs.ashbyhq.com/Perk/dc75c9cb-b7fa-4cc5-90b7-1dc6250bad28/application?utm_source=linkedinpaid
plain,Plain,ASHBY,plain,1,YES,ASHBY,plain,https://jobs.ashbyhq.com/plain/438ce6d9-d80b-4f25-b998-fdb79e13a767/application?utm_source=pjkaNql0V8
planner-5d,Planner 5D,LEVER,planner5d,2,YES,LEVER,planner5d,https://jobs.lever.co/planner5d/1f9cf12c-b949-4aae-a133-a7a7dabbedbe/apply?lever-source=LinkedIn
playstation,PlayStation,GREENHOUSE,sonyinteractiveentertainmentglobal,1,YES,GREENHOUSE,sonyinteractiveentertainmentglobal,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5733491004
plenti,Plenti,LEVER,plenti,1,YES,LEVER,plenti,https://jobs.lever.co/plenti/d288851b-744b-4fa8-901e-a67dd0afef04/apply?source=LinkedIn
propellerhead,Propellerhead,LEVER,propellerhead,1,YES,LEVER,propellerhead,https://jobs.lever.co/propellerhead/e7f815f4-64f9-4c15-ab74-27d8d7141867/apply?lever-source=LinkedIn&lever-source%5B%5D=LinkedIn
prosper-ai,Prosper AI,ASHBY,prosper-ai,1,YES,ASHBY,prosper-ai,https://jobs.ashbyhq.com/prosper-ai/f36ee772-c8b3-4afd-8e16-0a0e39306be5/application?utm_source=G4Y07yEbNr
pushpay,Pushpay,GREENHOUSE,pushpay,1,YES,GREENHOUSE,pushpay,https://job-boards.greenhouse.io/pushpay/jobs/7680299?gh_src=67e7e8791us
q-ctrl,Q-CTRL,LEVER,q-ctrl,1,YES,LEVER,q-ctrl,https://jobs.lever.co/q-ctrl/2bb72ac2-e157-4c6c-9d4f-0f9834beddd1/apply?lever-source=LinkedIn
qsic,QSIC,LEVER,qsic,1,YES,LEVER,qsic,https://jobs.lever.co/qsic/c524564c-2c0e-4be6-804d-222cfd398f25/apply?source=LinkedIn
quadrivia-ai,Quadrivia AI,ASHBY,quadrivia,1,YES,ASHBY,quadrivia,https://jobs.ashbyhq.com/quadrivia/d044636c-472c-42ba-80b3-b1cfde7c7501/application?utm_source=1pBN9Y90Zj
re-leased,Re-Leased,GREENHOUSE,released,1,YES,GREENHOUSE,released,https://job-boards.greenhouse.io/released/jobs/6640281003
real-time-innovations-rti,Real-Time Innovations (RTI),GREENHOUSE,rti,1,YES,GREENHOUSE,rti,https://job-boards.greenhouse.io/rti/jobs/7597382
remote,Remote,GREENHOUSE,remotecom,1,YES,GREENHOUSE,remotecom,https://job-boards.greenhouse.io/remotecom/jobs/6529613003
rocket-lab,Rocket Lab,GREENHOUSE,rocketlab,2,YES,GREENHOUSE,rocketlab,https://job-boards.greenhouse.io/rocketlab/jobs/7627215003?gh_src=3ad4b3093us
rovio-entertainment,Rovio Entertainment,LEVER,rovio-2,1,YES,LEVER,rovio-2,https://jobs.lever.co/rovio-2/20302074-98b5-4a2b-8802-0bab7ba12603/apply?lever-source=Job+postings+feed&lever-origin=applied&lever-source%5B%5D=Job%2520Postings%2520Feed%2CLinkedin
safetyculture,SafetyCulture,LEVER,safetyculture-2,2,YES,LEVER,safetyculture-2,https://jobs.lever.co/safetyculture-2/d8c93f7d-62ad-45a4-8661-680684b2c1b8/apply?source=LinkedIn
servicerocket,ServiceRocket,LEVER,servicerocket,1,YES,LEVER,servicerocket,https://jobs.lever.co/servicerocket/ac155382-9359-4135-afe7-ceaf84ddbb63/apply
sitemate,Sitemate,ASHBY,Sitemate,1,YES,ASHBY,Sitemate,https://jobs.ashbyhq.com/Sitemate/6a659405-94ae-45fd-9154-2d72d42425ef/application?utm_source=LinkedInPaid
sony-interactive-entertainment,Sony Interactive Entertainment,GREENHOUSE,sonyinteractiveentertainmentglobal,2,YES,GREENHOUSE,sonyinteractiveentertainmentglobal,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5733491004?gh_src=sgp49gfz4us
spotify,Spotify,LEVER,spotify,1,YES,LEVER,spotify,https://jobs.lever.co/spotify/74c04c1a-afe8-4616-be68-ae452daed595?lever-source=LinkedInJobs
terra,Terra,LEVER,terrahq,1,YES,LEVER,terrahq,https://jobs.lever.co/terrahq/14a15978-61d9-4aa6-89b0-e108c8731bad/apply
the-athletic,The Athletic,LEVER,theathletic,1,YES,LEVER,theathletic,https://jobs.lever.co/theathletic/39093b9e-8350-4fde-811b-92ad0558afe6/apply?lever-source=LinkedIn
the-trade-desk,The Trade Desk,GREENHOUSE,thetradedesk,1,YES,GREENHOUSE,thetradedesk,https://job-boards.greenhouse.io/thetradedesk/jobs/4977767007?gh_src=1c01b2067us
tracksuit,Tracksuit,LEVER,tracksuit-limited,1,YES,LEVER,tracksuit-limited,https://jobs.lever.co/tracksuit-limited/cee931a3-7b01-4688-91b8-056dbc231fd2
trading-212,Trading 212,ASHBY,trading212,1,YES,ASHBY,trading212,https://jobs.ashbyhq.com/trading212/6cbd7379-40c9-4169-a5a2-4235e046bc20/application?utm_source=r4Qk6zYv5X
upguard,UpGuard,LEVER,upguard,2,YES,LEVER,upguard,https://jobs.lever.co/upguard/ad7beb2a-bf35-4689-84aa-29a1e14ad7d9/apply?source=LinkedIn
veepee,Veepee,LEVER,veepee,1,YES,LEVER,veepee,https://jobs.lever.co/veepee/cf5688f1-b0b5-4c0e-9583-b7932ccde1c4/apply?lever-source=LinkedIn
voltrac,Voltrac,ASHBY,voltrac,1,YES,JOIN,voltraceu,https://jobs.ashbyhq.com/voltrac/34fe0af4-0bd5-419f-ac52-6c77d93762a2/application?utm_source=1ngq2KaGD3
workyard,Workyard,ASHBY,workyard,1,YES,ASHBY,workyard,https://jobs.ashbyhq.com/workyard/cb5f9680-8b76-458d-b2c5-3eec6903042c/application
wpp-media,WPP Media,GREENHOUSE,wppmedia,1,YES,GREENHOUSE,wppmedia,https://job-boards.greenhouse.io/wppmedia/jobs/4988148008
xephyr,Xephyr,ASHBY,xephyr,1,YES,ASHBY,xephyr,https://jobs.ashbyhq.com/xephyr/6b5326ff-576b-4499-938f-b8fdb9c6d043/application?utm_source=VQlKZgMWeq
xero,Xero,ASHBY,xero,2,YES,ASHBY,xero,https://jobs.ashbyhq.com/xero/219231a5-a2a6-4da7-a3a3-add5c31f54f4/application?utm_source=XeroLinkedInJobSlots
zuru-toys,ZURU Toys,LEVER,zuru,1,YES,LEVER,zuru,https://jobs.lever.co/zuru/76222e73-a8cb-418d-a967-1ca81e52280e/apply?source=LinkedIn
