companyId,companyName,provider,identifier,jobCount,slugSource
autoform-group,AutoForm Group,ASHBY,autoform-group,0,manifest_id
autograb,AutoGrab,ASHBY,autograb,0,manifest_id
autoguru,AutoGuru,ASHBY,autoguru,0,manifest_id
autorfp-ai,AutoRFP.ai,ASHBY,autorfp-ai,0,manifest_id
avanade,Avanade,ASHBY,avanade,0,manifest_id
avance-consulting,Avance Consulting,ASHBY,avance-consulting,0,manifest_id
axcelerate,aXcelerate,ASHBY,axcelerate,0,manifest_id
axis-data-s-l-u,Axis Data S.L.U.,ASHBY,axis-data-s-l-u,0,manifest_id
axle-capital,Axle Capital,ASHBY,axle-capital,0,manifest_id
ayesa-digital,Ayesa Digital,ASHBY,ayesa-digital,0,manifest_id
b-braun-group,B. Braun Group,ASHBY,b-braun-group,0,manifest_id
b2brouter,B2Brouter,ASHBY,b2brouter,0,manifest_id
babcock-australia-new-zealand,Babcock Australia & New Zealand,ASHBY,babcock-australia-new-zealand,0,manifest_id
bable-smart-cities,BABLE Smart Cities,ASHBY,bable-smart-cities,0,manifest_id
balance,Balance,ASHBY,balance,0,manifest_id
balance-recruitment,Balance Recruitment and Balance Consulting,ASHBY,balance-recruitment,0,manifest_id
basis,Basis,ASHBY,basis,0,manifest_id
basis,Basis,LEVER,basis,3,manifest_id
bcnc-group,BCNC GROUP,ASHBY,bcnc-group,0,manifest_id
bee-line-ready-mix,Bee Line Ready Mix,ASHBY,bee-line-ready-mix,0,manifest_id
beincrypto,BeInCrypto,ASHBY,beincrypto,0,manifest_id
bemobile,Bemobile,ASHBY,bemobile,0,manifest_id
bendigo-advertiser,Bendigo Advertiser,ASHBY,bendigo-advertiser,0,manifest_id
bending-spoons,Bending Spoons,ASHBY,bending-spoons,0,manifest_id
betashares,Betashares,ASHBY,betashares,0,manifest_id
bfpa,British Fluid Power Association (BFPA),ASHBY,bfpa,0,manifest_id
billigence,Billigence,ASHBY,billigence,0,manifest_id
biorce,Biorce,ASHBY,biorce,0,manifest_id
biorce,Biorce,LEVER,Biorce,0,raw_name
bixie,Bixie,ASHBY,bixie,0,manifest_id
black-sash,Black Sash,ASHBY,black-sash,0,manifest_id
blackbook-recruitment,Blackbook Recruitment,ASHBY,blackbook-recruitment,0,manifest_id
blackroc-recruitment,BLACKROC Recruitment,ASHBY,blackroc-recruitment,0,manifest_id
bluecurrent-australia-new-zealand,Bluecurrent Australia & New Zealand,ASHBY,bluecurrent-australia-new-zealand,0,manifest_id
bluetab-an-ibm-company,"Bluetab, an IBM Company",ASHBY,bluetab-an-ibm-company,0,manifest_id
bmm-testlabs,BMM Testlabs,ASHBY,bmm-testlabs,0,manifest_id
bond-software,Bond Software,ASHBY,bond-software,0,manifest_id
boon-solutions,Boon Solutions,ASHBY,boon-solutions,0,manifest_id
boston-consulting-group-bcg,Boston Consulting Group (BCG),ASHBY,boston-consulting-group-bcg,0,manifest_id
breaker,Breaker,ASHBY,breaker,0,manifest_id
brg,BRG,ASHBY,brg,0,manifest_id
bridge-it-engineering,Bridge IT Engineering,ASHBY,bridge-it-engineering,0,manifest_id
brunswick-marine-in-emea,Brunswick Marine in EMEA,ASHBY,brunswick-marine-in-emea,0,manifest_id
bryk-group,BRYK Group,ASHBY,bryk-group,0,manifest_id
bunnings,Bunnings,ASHBY,bunnings,0,manifest_id
bureau-veritas-north-america,Bureau Veritas North America,ASHBY,bureau-veritas-north-america,0,manifest_id
byd-harmony-auto-australia,BYD Harmony Auto Australia,ASHBY,byd-harmony-auto-australia,0,manifest_id
c-vica,Cívica,ASHBY,c-vica,0,manifest_id
caixabank-asset-management,CaixaBank Asset Management,ASHBY,caixabank-asset-management,0,manifest_id
caixabank-tech,CaixaBank Tech,ASHBY,caixabank-tech,0,manifest_id
cambrian-intelligence-sl,Cambrian Intelligence SL,ASHBY,cambrian-intelligence-sl,0,manifest_id
